tweet,label
"When the shit u take is therapeutic &gt; 

👳🏾‍♂️👌🏾💩",4
@davidhogg111 lying sack of 💩 https://t.co/30Mpyc3uPI,4
@PresidentKeon 😂 bull💩,4
@Superbokka @mulamwah This constant mambo-jombo about toilet roll should show u how important shit 💩 is to human race .,4
RT @IamAkademiks: Tekashi 69 promises this will be his 6th billboard charting song. U agree or na? 🔥🔥🔥 or 💩💩💩 https://t.co/U0oVtZv2Qa,4
I’m not with the 💩💩’s today 😒,4
RT @Bill46122502: @SurfPHX 🐖💩Brown need to arrest all ca politicians on felony’s for harboring illegals🇺🇸,4
"RT @The__Goomba: I wonder if this is a reference to Logan Paul💩
Guess his obnoxiousness really pissed off the Japanese. https://t.co/ryeQOz…",4
"RT @extremecdn: @TomthunkitsMind Who is full of the most 💩?
#GoldenGaslightAward goes to",4
@tonyposnanski Chris CIllizza 💩’s the bed as usual— hahaha,4
RT @NYDailyNews: A No. 2 train covered in No. 2 (💩) was suspended Monday morning. https://t.co/r4OBJwmdbz,4
"@realDonaldTrump Move on to another issue, you suck at this one. You just look like the bigot racist you are, you old fool. 🍊💩🤡",4
@Lonzitooo I said the same 💩,4
"@nigella_i5e 😂

""Delivered"" - 😂😂😂

You're going to get a 💩 at best.

🤦‍♂️",4
@WWE @RealKurtAngle @RondaRousey # Team Kurt and # Ronda all the way!!!! I can't wait to see them shut those dumb 💩… https://t.co/n86WQAluwH,4
"Hugh Hewitt is just another talking points 💩.
I thought it was common knowledge, MSNBC tried to be more balanced al… https://t.co/AMSYYLveOb",4
"RT @extremecdn: @TomthunkitsMind Who is full of the most 💩?
#GoldenGaslightAward goes to",4
"RT @Trey_VonDinkis: #LeftistSedition #LeftistTerrorism #LeftistCrime #Bribery

.
.
💩🕳️ MORE LEFTIST CRIMES:

Maryland Democrat State Senato…",4
"@Oli_Pettigrew @RightThisMinute HBD - tho that thing on the right looks more like ""Birthday 💩""",4
@CNN She can make 3 times more cash with the podcast. Florida has a large audience for 💩,4
Oh 💩!!! It's Moron-is 😈🤪😜 @TuckerCarlson,4
"HOPE NO ONE WAS PISSED

💩💩💩

just thought of that one https://t.co/kzexaqEbXY",4
RT @Truthseeker126: Looks like Mexico should comply or no deal. Dirty Dimms aren’t doing 💩. #NoDACA #MondayMotivation #NAFTA https://t.co/E…,4
RT @baguioTCVS: Reminder. always safe sex. Get tested first if you intend to go bare. No to casual sex 😉👍🏻 Not recommended💩💩💩 https://t.co/…,4
@kylegriffin1 @ALT_uscis Just another example of the abuse of power this petty piece of 💩 child president openly engages in.,4
@seanhannity What a💩head 👎,4
American “Media” fraud @IngrahamAngle has many many RUSSIAN BOTS #IStandWithLaura by her side  #AMERICANTRAITOR 💩💩💩 https://t.co/Hc0aYIie4K,4
"RT @Shawtypepelina: A list of retarded 💩teens have done:
Salt &amp; Ice, Vodka eyeballing, Tidepod, Choking for a high, Butt Chugging, Smoking…",4
Always hated BS the west coast doesn’t care but the rest of us do and this 💩 of starting #NationalChampionship afte… https://t.co/EAb0LvhWQ9,4
"@mnwild Well, 💩  #mnwild",4
RT @abmrecordz: Freestyle comments #party n da car😲😲😲😍😍😍😍🔥🔥🔥🐐💩 https://t.co/Ts7RqsgYn9,4
Don’t ride for a mf that’s always sneaking the wheels off.. Ain’t getting no where just stuck in the same bull💩,4
"Hugh was a 💩ass looking for a fight &amp; 
laughing disrespectfully👎 
Hewitt, you are an OGM &amp; old gray men are a plagu… https://t.co/EMztMo96uK",4
feel like complete 💩,4
